objectid,filename,youtubeid,vimeoid,identifier,title,creator,author,alternatename,location,coverage,date,source,type,format,language,rightsstatement,reference_url,url,location,latitude,longitude,rights
coll001,ex.pdf,,,repl1,Example,Rebecca N. McKinnon,Rebecca N. McKinnon,Rebecca McKinnon,Florida,Florida,2021-12-05,RNM-Writing,Text;Flash Fiction,text,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,https://maudlinhouse.net/reply-to-an-almost-lover/,https://maudlinhouse.net/reply-to-an-almost-lover/,,,,
coll002,,,,lucy1,,,,,,,,,,,,,,,,,,
coll003,ThreeHoursAloneonBlackRockBeach_RebeccaNMcKinnon.docx,,,thre0,Three Hours Alone on Black Rock Beach,,,,,,,,,,,,,,,,,
coll004,Shecutherhair_RebeccaNMcKinnon.docx,,,shec0,She cut her hair,,,,,,,,,,,,,,,,,
coll005,Departures_RebeccaNMcKinnon.docx,,,depa0,Departures,,,,,,,,,,,,,,,,,
coll006,FirstFallHellbound_RebeccaNMcKinnon.docx,,,firstf0,First Fall or Hellbound,,,,,,,,,,,,,,,,,
coll007,FirstCrush_RebeccaNMcKinnon.docx,,,firstc0,First Crush,,,,,,,,,,,,,,,,,
coll008,Plansandprayers_RebeccaNMcKinnon.docx,,,plan0,Plans and prayers,,,,,,,,,,,,,,,,,
coll009,IndreamsIremember_RebeccaNMcKinnon.docx,,,indr0,In dreams I remember,,,,,,,,,,,,,,,,,
coll010,Me and you,,,mean0,Me and you,,,,,,,,,,,,,,,,,
coll011,TheresultingcrystallatticeorLoveisageode_RebeccaNMcKinnon,,,ther0,The resulting crystal lattice or Love is a geode,,,,,,,,,,,,,,,,,
coll012,SatinesLament_RebeccaNMcKinnon.docx,,,sati0,Satine's Lament,,,,,,,,,,,,,,,,,
coll013,TheinfluenceofRahu_RebeccaNMcKinnon.docx,,,thei0,The influence of Rahu,,,,,,,,,,,,,,,,,
coll014,Nofurther_RebeccaNMcKinnon.docx,,,nofu0,No further,,,,,,,,,,,,,,,,,
coll015,PrayertoAfAngelofAnger_RebeccaNMcKinnon.docx,,,pray0,"Prayer to Af, Angel of Anger",,,,,,,,,,,,,,,,,
coll016,Imtired_RebeccaNMcKinnon.docx,,,imti0,I'm tired,,,,,,,,,,,,,,,,,
coll017,TheHermit_RebeccaNMcKinnon.docx,,,theh0,The Hermit,,,,,,,,,,,,,,,,,
coll018,Ihookedyou_RebeccaNMcKinnon.docx,,,ihoo0,I hooked you,,,,,,,,,,,,,,,,,
coll019,Replytoanalmostlover_RebeccaNMcKinnon.pdf,,,,Reply to an almost lover,,,,,,,,,,,,,,,,,
coll020,,,,,,,,,,,,,,,,,,,,,,